sentence	label
Ini case yg kedua, sebelumnya sy sempat kena tipu dan account saldo gopay sy hangus, [USERNAME] perlu ada peningkatan security lg spy g kejadian terus seperti ini	3
Tadi sempet swafoto bareng pesinetron komedi TOP (Tukang Ojek Pengkolan) : Mang Odih alias Om Kusye. .. Yg membanggakan adalah si om menjadi saksi mewakili dari pihak perempuan (keluarga [URL]	0
Kenapa lebaran identik dengan baju baru, masak rendang & opor, belanja gila2an? Kalau buat yang kurang mampu, ngenes gak ya lihat sebelahnya belanja satu trolley?	3
Udah maghrib, aku shalat dulu ya.. Seperti biasa akan ku sebut namamu dalam do'a ku, kali ini aku akan lebih bersungguh-sungguh meminta dan memohon kepada-Nya untuk kesembuhan dan kesehatanmu serta kebahagiaanmu. Aku sayang kamu [USERNAME]  #GetWellSoonLeeteuk	4
Sebagai dokter gue punya kelegaan tersendiri kalau pasien, terutama yang menengah ke bawah, punya BPJS. Karena itu artinya seandainya mereka harus dirujuk, misalnya, gue ga perlu stres sama pertimbangan keuangan.	0
[USERNAME] [USERNAME] gaada yang mau gue ungkapin . Dia bisa bikin nyaman . Gue ngapain aja dia juga iyaiya aja , baiknya keterlaluan , manisnya keterlaluan , gemesinnya keterlaluan , marahnya juga ketealuan wmwkwkwk. Sangat sayang dika	4
Aku pen jadi gulingnya via valen Biar bisa menenangkan dia. Aku tau via lg bersedih hati pastinya hari ini, seharian pasti nangis terus dia.	3
Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]	0
Ya berkali kali Farah suka ingetin untuk engga diterusin. Katanya makin gue perhatian ke dia, makin sulit buat gue untuk lupain soal dia. Tapi nihya far, udh gue coba dr jaman kapan ahelah. Ujung2nya penuh risiko (re: suka kgn). Hmm pahit :(((	3
[USERNAME] Bullshit! Mereka semua. #Rakyat yang akan sebagai #Penentu . Nasib #Indonesia bukan pada para tokoh #elit maupun tokoh #Parpol tapi ada pada kekuatan Rakyat	1
Pas gempa jogja pernah ngerasain capek banget tapi gabisa tidur karena was-was gempa susulan, yang kedengeran cuma suara ambulance sepanjang malam gak berhenti, hujan deres petir kenceng sampek geter semua dikira gempa.	2
Pak [USERNAME] ini asli loh pak bukan editan [USERNAME] [USERNAME] [USERNAME] [USERNAME] om sesekali dong kupas persoalan di wilayah kami kok bisa bisa nya hukum dan keselamatan warga parungpanjang di nomor sekiankan.. Siapa sih om yg bermain di sini..? [URL]	1
Nangroe Aceh Darussalam memang Istimewa Al Fatihah buat Teuku Markam dan salam hormat buat keluarga Teuku Markam dari kami rakyat Indonesia [URL]	4
